Nom,Type_1,Type_2,Icône,Description,Niveau,Attribut,ATK,DEF,Prix
Faucon Bionique,Monstre,[ Machine / Effet ],,"Lorsqu'un monstre de Type Machine que vous contrôlez est détruit au combat et envoyé au Cimetière tant que cette carte est face recto sur le Terrain, vous pouvez ajouter 1 monstre de Type Machine avec 1000 ATK ou moins depuis votre Deck à votre main.",4.0,Lumière,1700,1200,0
Faucon Blizzard,Monstre,[ Bête-Ailée / Effet ],,"Si l'ATK actuelle de cette carte est supérieure à son ATK d'origine : vous pouvez infliger 1500 points de dommages à votre adversaire. Cet effet ne peut être utilisé qu'une fois tant que cette carte est face recto sur le Terrain. Vous ne pouvez utiliser l'effet de ""Faucon Blizzard"" qu'une fois par tour.",4.0,Eau,1500,1500,"0,25"
Faucon Jet T.G.,Monstre,[ Bête-Ailée / Syntoniseur / Effet ],,"Si cette carte est envoyée au Cimetière en tant que Monstre-Matériel de Synchro, infligez 500 points de dommages à votre adversaire.",3.0,Vent,1400,1200,"0,25"
Faucon Marionnette de l'Ombre,Monstre,[ Magicien / Syntoniseur / Flip / Effet ],,"FLIP : Vous pouvez cibler 1 monstre ""Marionnette de l'Ombre"" (""Faucon Marionnette de l'Ombre"" exclu) dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense face verso.
 Si cette carte est envoyée au Cimetière par une ffet de carte ; vous pouvez l'Invoquer Spécialement en Position de Défense face verso. Vous ne pouvez utiliser qu'1 effet de ""Faucon Marionnette de l'Ombre"" par tour, et uniquement une fois le tour.",2.0,Ténèbres,600,1400,"0,25"
Faucondragon du Tonnerre,Monstre,[ Tonnerre / Effet ],,"Vous pouvez défausser cette carte ; Invoquez Spécialement 1 de vos monstres ""Dragon du Tonnerre"" (""Faucondragon du Tonnerre"" exclu) qui est banni ou dans votre Cimetière. Si cette carte est bannie, ou envoyée depuis le Terrain au Cimetière : vous pouvez mélanger un nombre de votre choix de cartes depuis votre main dans le Deck, puis piochez le même nombre de cartes. Vous ne pouvez utiliser qu'1 effet de ""Faucondragon du Tonnerre"" par tour, et uniquement une fois le tour.",6.0,Lumière,1800,2200,6
Faufilleur du Tombeau,Monstre,[ Démon / Effet ],,Lorsque cette carte est détruite au combat et envoyée au Cimetière : ciblez 1 carte sur le Terrain ; détruisez la cible.,1.0,Ténèbres,0,0,"0,25"
Faux - Artéfact,Monstre,[ Elfe / Effet ],,"Vous pouvez Poser cette carte depuis votre main dans votre Zone Carte Magie & Piège comme une carte Magie, Durant le tour de votre adversaire, lorsque cette carte Posée dans la Zone Carte Magie & Piège est détruite et envoyée à votre Cimetière : Invoquez-la Spécialement. Si cette carte est Invoquée Spécialement durant le tour de votre adversaire : le reste de ce tour, votre adversaire ne peut pas Invoquer Spécialement de monstres depuis l'Extra Deck.",5.0,Lumière,2200,900,"0,25"
Faux du Lutin Tranchant,Monstre,[ Démon / Effet ],,"Durant la Main Phase de votre adversaire (Effet Rapide) : vous pouvez révéler cette carte dans votre main ; Invoquez par Fusion 1 Monstre Fusion ""Frourreur"" depuis votre Extra Deck, en utilisant des monstres (cette carte dans votre main incluse) depuis votre main ou Terrain comme Matériel Fusion. Si un ou plusieurs Monstres Fusion ""Frourreur"" que vous contrôlez vont être détruits au combat ou par un effet de carte, vous pouvez bannir cette carte depuis votre Cimetière à la place. Vous ne pouvez utiliser chaque effet de ""Faux du Lutin Tranchant"" qu'une fois par tour.",3.0,Ténèbres,1000,0,"0,25"
Fée Alphan Super Quantique,Monstre,[ Elfe / Effet ],,"Une fois par tour : vous pouvez cibler 1 monstre ""Super Quant"" que vous contrôlez ; tous les monstres face recto que vous contrôlez actuellement deviennent du Niveau du monstre. Vous pouvez Sacrifier cette carte ; révélez 3 monstres ""Super Quant"" de noms différents depuis votre Deck, votre adversaire en prend 1 au hasard pour vous à Invoquer Spécialement sur votre Terrain, et vous envoyez les cartes restantes au Cimetière. Vous ne pouvez utiliser cet effet de ""Fée Alphan Super Quantique"" qu'une fois par tour.",1.0,Lumière,0,0,"0,25"
Fée de la Rose,Monstre,[ Plante / Effet ],,"Si cette carte est ajoutée depuis votre Deck à votre main par l'effet d'une Carte Magie, Piège ou Monstre, vous pouvez Invoquer Spécialement cette carte.",3.0,Vent,600,1200,0
Fée Aquatique Genex,Monstre,[ Aqua / Effet ],,"Lorsque cette carte est Invoquée Normalement, vous pouvez envoyer 1 monstre EAU depuis votre Deck au Cimetière pour ajouter 1 ""Contrôleur Genex"" depuis votre Deck à votre main.",3.0,Eau,1200,600,"0,25"
Fée de la Rose des Ténèbres,Monstre,[ Elfe / Effet ],,"Si un ou plusieurs Syntoniseurs sont Invoqués Spécialement (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est dans votre Cimetière : vous pouvez envoyer 1 carte depuis votre main ou Terrain au Cimetière ; placez cette carte au-dessus ou au-dessous de votre Deck. Vous ne pouvez utiliser chaque effet de ""Fée de la Rose des Ténèbres"" qu'une fois par tour.",2.0,Ténèbres,800,1000,"0,25"
Fée Fantôme Elfobia,Monstre,[ Psychique / Effet ],,"Une fois par tour : vous pouvez révéler 1 monstre VENT dans votre main ;jusqu'à la fin de la prochaine Main Phase 1 de votre adversaire,les monstres de niveau supérieur au monstre révélé ne peuvent pas activer leurs effets.",3.0,Vent,900,500,2
Fée Fantôruse,Monstre,[ Magicien / Effet ],,"Non Invocable Normalement, sauf si vous contrôlez un monstre ""Fantôruse"". Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Lorsque cette carte est retournée face recto : vous pouvez cibler 1 carte ""Fantôruse"" dans votre Cimetière ; Posez la carte (mais bannissez-la lorsqu'elle quitte le Terrain), puis, vous pouvez changer un nombre de monstres face recto contrôlés par votre adversaire en Position de Défense face verso, inférieur ou égal au nombre de cartes Posées que vous contrôlez.",2.0,Ténèbres,900,1000,0
Fée Mystique Elfuria,Monstre,[ Magicien / Effet ],,"Une fois par tour: vous pouvez révéler 1 monstre VENT de votre main, jusqu'à ce que end Phase de votre adversaire, aucun joueur ne peut Invoquer de montsres Xyz, utilisant des Matériaux Xyz avec un niveau différent de celui du monstre révélé.",3.0,Vent,1500,900,0
"Feedran, les Vents de la Malice",Monstre,[ Dragon / Effet ],,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre face recto que vous contrôlez ; s'il attaque un monstre en Position de Défense ce tour, infligez des dommages de combat perçants à votre adversaire. Durant le tour de votre adversaire (Effet Rapide) : vous pouvez cibler 1 autre monstre face recto sur le Terrain ; changez sa position de combat, puis, renvoyez cette carte à la main. Vous ne pouvez utiliser chaque effet de ""Feedran, les Vents de la Malice"" qu'une fois par tour.",3.0,Vent,1700,0,"0,25"
"Felis l'Archère, Seigneur Lumière",Monstre,[ Bête-Guerrier / Syntoniseur / Effet ],,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement par un effet de carte et non invocable Spécialement autrement. Si cette carte est envoyée depuis votre Deck au Cimetière par un effet de monstre : Invoquez-la Spécialement. Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre contrôlé par votre adversaire; détruisez la cible, puis envoyez les 3 cartes du dessus de votre Deck au Cimetière.",4.0,Lumière,1100,2000,"0,5"
Fenghuang,Monstre,[ Bête-Ailée / Spirit / Effet ],,Cette carte ne peut pas être Invoquée Spécialement. Durant la End Phase du tour où cette carte est Invoquée Normalement ou retournée face recto : renvoyez-la à la main. Lorsque cette carte est Invoquée Normalement ou retournée face recto : détruisez toutes les Cartes Magie/Piège Posées contrôlées par votre adversaire.,6.0,Feu,2100,1800,5
Fengli le Soldrapom,Monstre,[ Plante / Syntoniseur / Effet ],,"Si cette carte est envoyée depuis le Deck à votre Cimetière par un effet de monstre : vous pouvez Invoquer Spécialement cette carte, puis, si vous contrôlez un autre monstre Plante, vous pouvez diviser par deux l'ATK/DEF d'1 monstre sur le Terrain. Vous ne pouvez utiliser cet effet de ""Fengli le Soldrapom"" qu'une fois par tour. Une fois par tour, si cette carte sur le Terrain va être détruite au combat ou par un effet de carte, vous pouvez envoyer 1 monstre Plante depuis votre Deck au Cimetière à la place.",1.0,Feu,800,0,"0,25"
Fenny Melffy,Monstre,[ Bête / Effet ],,"Si votre adversaire Invoque Normalement ou Spécialement un ou plusieurs monstres (sauf durant la Damage Step), ou si un monstre de l'adversaire cible cette carte avec une attaque : vous pouvez renvoyer cette carte à la main, puis vous pouvez Invoquer Spécialement 1 monstre Bête (""Fenny Melffy"" exclu) depuis votre main. Durant votre End Phase : vous pouvez Invoquer Spécialement cette carte depuis votre main. Vous ne pouvez utiliser chaque effet de ""Fenny Melffy"" qu'une fois par tour.",2.0,Terre,100,300,"0,25"
Fenrir Kashtira,Monstre,[ Psychique / Effet ],,"Si vous ne contrôlez aucun monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez utiliser chacun des effets suivants de ""Fenrir Kashtira"" qu'une fois par tour. Durant votre Main Phase : vous pouvez ajouter 1 monstre ""Kashtira"" depuis votre Deck à votre main. Lorsque cette carte déclare une attaque, ou si votre adversaire active un effet de monstre (sauf durant la Damage Step) : vous pouvez cibler 1 carte face recto contrôlée par votre adversaire ; bannissez-la face verso.",7.0,Terre,2400,2400,0
"Fenrir, Loup Nordique",Monstre,[ Bête / Effet ],,"Ni Invocable Normalement, ni Posable. Durant votre main Phase 2, si un monstre ""Ases"" est sur le Terrain, vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position de Défense. S'il n'y a pas de monstre ""Ases"" sur le Terrain, détruisez cette carte. Au début de votre Battle Phase : changez tous les monstres en Positon de Défense que vous contrôlez en Positon d'Attaque face recto. Chaque joueur reçoit des dommages de combat des attaques impliquant cette carte.",10.0,Ténèbres,4000,4000,"1,25"
Fer-Aye,Monstre,[ Machine / Effet ],,Une fois par tour : vous pouvez augmenter l'ATK de cette carte de 400. Cette carte ne peut pas attaquer le tour où vous activez cet effet.,4.0,Terre,1600,1800,"0,2"
Fermière Kozmo,Monstre,[ Psychique / Effet ],,"Durant le tour de chaque joueur : vous pouvez bannir cette carte ; Invoquez Spécialement 1 monstre ""Kozmo"" de min. Niveau 4 depuis votre main. Vous ne pouvez utiliser cet effet de ""Fermière Kozmo"" qu'une fois par tour. Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez payer 500 LP ; ajoutez 1 carte ""Kozmo"" depuis votre Deck à votre main.",3.0,Lumière,1500,1000,0
Ferrijit Tri-Brigade la Floraison Aride,Monstre,[ Bête / Lien / Effet ],,"2 monstres Bête, Bête-Guerrier et/ou Bête Ailée
 Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre Bête, Bête-Guerrier ou Bête Ailée de max. Niveau 4 depuis votre main, et aussi, vous ne pouvez pas utiliser de monstres (monstres Bête, Bête-Guerrier ou Bête Ailée exclus) comme Matériel Lien le reste de ce tour. Si cette carte est envoyée au Cimetière : vous pouvez piocher 1 carte, puis placez 1 carte depuis votre main au-dessous du Deck. Vous ne pouvez utiliser chaque effet de ""Ferrijit Tri-Brigade la Floraison Aride"" qu'une fois par tour.",13.0,Terre,1600,LINK-2,200
Festival Fantôruse,Monstre,[ Magicien / Lien / Effet ],,"1 monstre non-Lien ""Fantôruse""
 Vous pouvez aussi utiliser un monstre ""Fantôruse"" face verso que vous contrôlez comme Matériel pour Invoquer par Lien cette carte. Tant qu'une carte ""Fantôruse"" est dans une Zone Terrain, vos monstres ""Fantôruse"" peuvent attaquer directement. Lorsqu'un monstre de l'adversaire déclare une attaque : vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 monstre ""Fantôruse"" depuis votre Deck en Position de Défense face verso. Vous ne pouvez utiliser cet effet de ""Festival Fantôruse"" qu'une fois par tour.",,Ténèbres,0,LINK-1,"0,25"
Fêtard Springans,Monstre,[ Machine / Effet / Xyz ],,"2 monstres de Niveau 4
 Si cette carte est Invoquée Spécialement depuis votre Extra Deck : vous pouvez envoyer 1 monstre ""Springans"" depuis votre Deck au Cimetière. Durant la Main ou Battle Phase de votre adversaire (Effet Rapide) : vous pouvez bannir cette carte jusqu'à la End Phase, puis si vous avez banni cette carte avec min. 2 Matériels Xyz, vous pouvez aussi envoyer 1 Monstre Fusion depuis votre Extra Deck au Cimetière qui liste ""Albaz le Déchu"" comme Matériel. Vous ne pouvez utiliser chaque effet de ""Fêtard Springans"" qu'une fois par tour.",4.0,Feu,1100,2000,"0,75"
Feu Follet Horreur de l'Ombre,Monstre,[ Démon / Effet ],,"Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre ""Horreur de l'Ombre"" (cette carte exclue) dans votre Cimetière ou face recto sur votre Terrain ; le Niveau de cette carte devient du Niveau actuel du monstre. Lorsque cette carte en Position d'Attaque est détruite au combat et envoyée au Cimetière, et qu'elle était face recto au début de la Damage Step : détruisez le monstre qui a détruit cette carte.",1.0,Ténèbres,0,0,"0,25"
Feu Grégois Volcanique,Monstre,[ Pyro / Effet ],,"Cette carte ne peut ni être Invoquée par Invocation Normale, ni être Posée. Cette carte peut uniquement être Invoquée par Invocation Spéciale en envoyant un ""Accélérateur Tri-Flammes"" que vous contrôlez au Cimetière. Durant la Battle Phase de votre adversaire, votre adversaire doit attaquer ce monstre avec tous les monstres en Position d'Attaque qu'il contrôle. Lorsque cette carte détruit un monstre et l'envoie au Cimetière, détruisez tous les monstres contrôlés par votre adversaire et infligez 500 dommages à votre adversaire pour chaque monstre détruit par cet effet.",8.0,Feu,3000,1800,1
Feu Libromancien,Monstre,[ Cyberse / Effet ],,"Vous pouvez révéler 1 Monstre Rituel dans votre main : Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 monstre ""Libromancien"" (""Feu Libromancien"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Feu Libromancien"" qu'une fois par tour.",4.0,Feu,1800,1800,15
Fiberjarre,Monstre,[ Plante / Effet ],,"Flip : Chaque joueur mélange toutes les cartes depuis leur main, Terrain et Cimetière dans le Deck, puis pioche 5 cartes.",3.0,Terre,500,500,0
Fierté Amorphage,Monstre,[ Dragon / Pendule / Effet ],,"Pendule : 3 Tant que vous contrôlez un monstre ""Amorphage"", aucun joueur ne reçoit de dommages d'effet. Une fois par tour, durant votre Standby Phase, Sacrifiez 1 monstre ou détruisez cette carte.-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Si cette carte est Invoquée par Pendulation ou retournée face recto, aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck tant que cette carte est face recto sur le Terrain.",4.0,Terre,1750,0,"0,5"
Fifinellag Altergeist,Monstre,[ Magicien / Syntoniseur / Effet ],,"Les monstres contrôlés par votre adversaire ne peuvent pas cibler les monstres ""Altergeist"" que vous contrôlez (""Fifinellag Altergeist"" exclu) avec une attaque, et aussi, votre adversaire ne peut pas cibler de monstres ""Altergeist"" que vous contrôlez (""Fifinellag Altergeist"" exclu) avec des effets de carte.",2.0,Ténèbres,0,1000,0
Figue Maudite,Monstre,[ Plante / Effet ],,"Lorsque cette carte est détruite au combat et envoyée au Cimetière, sélectionnez 2 Cartes Magie ou Piège posées sur le Terrain. Tant que cette carte est au Cimetière, les cartes sélectionnées ne peuvent être activées.",1.0,Eau,200,200,"0,6"
Figurines d'Acambaro Chronomal,Monstre,[ Rocher / Effet ],,"Si un ou plusieurs monstres ""Chronomal"" que vous contrôlez vont être détruits au combat ou par un effet de carte de votre adversaire, vous pouvez défausser cette carte à la place. Si cette carte est dans votre Cimetière : vous pouvez payer 1000 LP ; Invoquez Spécialement cette carte, mais renvoyez-la à la main durant la End Phase. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Chronomal"" exclus) le tour où vous activez cet effet. Vous ne pouvez utiliser cet effet de ""Figurines d'Acambaro Chronomal"" qu'une fois par tour.",5.0,Terre,1000,1800,"0,25"
Fijialerte Altergeist,Monstre,[ Magicien / Effet ],,"Lorsqu'un Monstre Lien ""Altergeist"" est Invoqué par Lien sur votre Terrain (sauf durant la Damage Step) : vous pouvez cibler 1 autre Monstre Lien sur le Terrain ; Invoquez Spécialement cette carte depuis votre main dans votre zone pointée par la cible, et aussi, le monstre est aussi traité comme un monstre ""Altergeist"" le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Fijialerte Altergeist"" qu'une fois par tour.",4.0,Eau,1400,1200,"1,5"
Fil Tranchant de la Force-S,Monstre,[ Cyberse / Effet ],,"Chacun des monstres de votre adversaire dans la même colonne qu'un de vos monstres ""Force-S"" ne peut pas être utilisé comme Matériel pour l'Invocation Lien d'un monstre de min. Link-3. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez Invoquer Spécialement 1 monstre ""Force-S"" (""Fil Tranchant de la Force-S"" exclu) depuis votre main en Position d'Attaque. Vous ne pouvez utiliser cet effet de ""Fil Tranchant de la Force-S"" qu'une fois par tour.",4.0,Ténèbres,1500,1300,"0,5"
Fillange Potartiste,Monstre,[ Elfe / Pendule / Effet ],,"Pendule : 1
 Une fois par tour, lorsqu'une attaque impliquant votre monstre et un monstre de l'adversaire est déclarée : vous pouvez défausser 1 Monstre Pendule ; jusqu'à la fin de ce tour, le monstre de l'adversaire perd 1000 ATK.
 ---------------------------------------------
 Vous pouvez défausser cette carte et 1 monstre ""Potartiste"" (""Fillange Potartiste"" exclu) ; piochez 2 cartes. Si cette carte est dans votre Cimetière et que vous contrôlez ""Gentrude Potartiste"" ou une carte ""Yeux Impairs"" : vous pouvez placer cette carte dans votre Zone Pendule. Vous ne pouvez utiliser qu'1 effet de ""Fillange Potartiste"" par tour, et uniquement une fois le tour.",3.0,Lumière,1000,1500,1
Fille Botanique,Monstre,[ Plante / Effet ],,"Lorsque cette carte est envoyée du Terrain au Cimetière, vous pouvez ajouter 1 monstre de Type Plante avec une DEF de 1000 ou moins depuis votre Deck à votre main.",3.0,Eau,1300,1100,0
Fille de Cristal,Monstre,[ Magicien / Effet ],,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez activer cet effet ; durant la End Phase de ce tour, ajoutez 1 monstre EAU de min. Niveau 5 depuis votre Deck à votre main. Si vous contrôlez un monstre EAU de min. Niveau 5 et que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Fille de Cristal"" qu'une fois par tour.",1.0,Eau,200,100,1
Fille de la Rose,Monstre,[ Plante / Syntoniseur / Effet ],,"Si un ou plusieurs monstres Plante face recto que vous contrôlez sont envoyés au Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si un monstre Plante est sur le Terrain et cette carte est dans votre Cimetière : vous pouvez ajouter cette carte à votre main. Vous ne pouvez utiliser qu'1 effet de ""Fille de la Rose"" par tour, et uniquement une fois le tour.",3.0,Terre,800,600,"0,25"
Fille Esper,Monstre,[ Psychique / Syntoniseur / Effet ],,"Lorsque cette carte retirée du jeu est Invoquée Spécialement, retirez du jeu la carte du dessus de votre Deck face recto. Lorsque cette carte est envoyée depuis le Terrain au Cimetière, ajoutez la carte retirée du jeu à votre main.",2.0,Terre,500,300,"0,35"
Fille Fantôme et Cornouiller Effrayant,Monstre,[ Zombie / Syntoniseur / Effet ],,"Durant chaque tour, sauf la End Phase (Effet Rapide) : vous pouvez défausser cette carte ; ce tour, appliquez cet effet. Vous ne pouvez utiliser cet effet de ""Fille Fantôme et Cornouiller Effrayant"" qu'une fois par tour.
 ?Chaque fois que votre adversaire Invoque Spécialement un ou plusieurs Monstres à Effet durant la Main Phase ou Battle Phase, vous gagnez des LP égaux à l'ATK du monstre. Si vous n'avez pas gagné de LP par cet effet, vos LP sont divisés par deux durant la End Phase.",3.0,Eau,0,1800,"0,25"
Fille Gagaga,Monstre,[ Magicien / Effet ],,"Vous pouvez cibler 1 ""Magicien Gagaga"" face recto que vous contrôlez : le Niveau de cette carte devient le Niveau du monstre. Un Monstre Xyz Invoqué en utilisant uniquement cette carte et d'autre monstres ""Gagaga"" comme Matériel Xyz gagne cet effet.
 •Lorsqu'il est Invoqué par Xyz : vous pouvez cibler 1 monstre Invoqué Spécialement contrôlé par votre adversaire: son ATK devient 0.",3.0,Ténèbres,1000,800,0
Fille Harpie,Monstre,[ Bête-Ailée / Normal ],,"""Cette fille Harpie fait tout pour se déplacer avec grâce et élégance, mais reste capable d'attaques fulgurantes.""",2.0,Vent,500,500,0
Fillecarte Potartiste,Monstre,[ Effet / Magicien / Pendule ],,"Pendule : 4
 --------------------------------------------------------------------------------------
 Une fois par tour : vous pouvez Invoquer par Fusion 1 Monstre de Fusion depuis votre Extra Deck, en utilisant des monstres que vous contrôlez (cette carte incluse) comme Matériels de Fusion. Si cette carte dans la Zone Pendule est détruite : vous pouvez cibler 1 Monstre de Fusion de Type Dragon dans votre Cimetière ; Invoquez-le Spécialement mais détruisez-le durant la End Phase.",2.0,Ténèbres,200,200,"0,5"
Filles Capucin Mah-Jong,Monstre,[ Bête-Ailée / Flip / Effet ],,"FLIP : Vous pouvez piocher 1 carte, puis défaussez 1 carte.
 Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso.",2.0,Vent,200,2000,"0,25"
"Filo, Messager Mercefourrure",Monstre,[ Bête-Ailée / Effet ],,"Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre ""Mercefourrure"" (""Filo, Messager Mercefourrure"" exclu) depuis votre main. Si un monstre ""Mercefourrure"" est Invoqué Spécialement sur votre Terrain tant que vous contrôlez ce monstre (sauf durant la Damage Step) : vous pouvez cibler 1 monstre ""Mercefourrure"" dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense, mais placez-le au-dessous du Deck s'il quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Filo, Messager Mercefourrure"" qu'une fois par tour.",1.0,Vent,0,0,0
Fine Lame - Héros de la Destinée,Monstre,[ Guerrier / Effet ],,"Durant la Battle Phase de votre adversaire, en défaussant cette carte, tous les monstres ""Héros de la Destinée"" face recto que vous contrôlez gagnent 800 points d'ATK jusqu'à la fin de ce tour.",3.0,Ténèbres,300,600,"0,35"
Fireburst Libromancien,Monstre,[ Cyberse / Rituel / Effet ],,"Vous pouvez Invoquer Rituellement cette carte avec une carte ""Libromancien"". Si cette carte a été Invoquée Rituellement en utilisant un ou plusieurs monstres sur le Terrain, elle ne peut pas être détruite au combat, et aussi, les dommages de combat qu'elle inflige à votre adversaire sont doublés. Durant chaque Battle Phase, cette carte peut faire max. 2 attaques sur des monstres. Lorsqu'un monstre déclare une attaque : vous pouvez bannir 1 Monstre Rituel ""Libromancien"" depuis votre Cimetière ; cette carte gagne 200 ATK.",7.0,Feu,2800,2800,4
Firestarter Libromancien,Monstre,[ Cyberse / Rituel / Effet ],,"Vous pouvez Invoquer Rituellement cette carte avec une carte ""Libromancien"". Si cette carte est Invoquée Rituellement en utilisant un ou plusieurs monstres sur le Terrain, elle ne peut être ni détruite ni bannie par des effets de carte. Gagne 200 ATK/DEF chaque fois que votre adversaire active une carte ou un effet, tant que vous contrôlez cette carte avec une ATK inférieure à 3000 dans la Zone Monstre.",3.0,Feu,1800,1800,1
Fixétoileur,Monstre,[ Bête-Ailée / Effet ],,"Cette carte gagne un effet selon votre Zone Monstre Main dans laquelle elle est.
 ?La plus à gauche : Augmentez son Niveau de 4.
 ?La plus à droite : Augmentez son Niveau de 3.
 ?Centre : Augmentez son Niveau de 2.
 ?Autres : Augmentez son Niveau de 1.",4.0,Vent,1000,1500,"0,5"
"Flamel, Chevalier Etoilé",Monstre,[ Elfe / Effet ],,"Lorsqu'un monstre de l'adversaire déclare une attaque : vous pouvez envoyer cette carte depuis votre main ou Terrain face recto au Cimetière ; Invoquez Spécialement 1 monstre LUMIÈRE Dragon de Niveau 7 depuis votre main. (Effet Rapide) : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre LUMIÈRE Dragon de Niveau 7 que vous contrôlez ou dans votre Cimetière ; renvoyez-le à votre main. Vous ne pouvez utiliser qu'1 effet de ""Flamel, Chevalier Étoilé"" par tour, et uniquement une fois le tour.",4.0,Lumière,1500,1000,2
"Flammette, Sorcière de la Bonne Aventure",Monstre,[ Magicien / Effet ],,"Lorsque vous piochez cette carte : vous pouvez la révéler ; Invoquez-la Spécialement depuis votre main. Si cette carte est Invoquée Spécialement depuis la main : vous pouvez cibler 1 carte Posée contrôlée par votre adversaire ; détruisez-la. Vous ne pouvez utiliser chaque effet de ""Flammette, Sorcière de la Bonne Aventure"" qu'une fois par tour.",2.0,Feu,0,0,"0,75"
Fléau Écarlate Vampire,Monstre,[ Zombie / Effet ],,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez payer 1000 LP, puis ciblez 1 monstre ""Vampire"" (""Fléau Écarlate Vampire"" exclu) dans votre Cimetière ; Invoquez-le Spécialement, mais il ne peut pas attaquer ce tour. Vous ne pouvez utiliser cet effet de ""Fléau Écarlate Vampire"" qu'une fois par tour. À la fin de la Battle Phase, si cette carte a détruit un ou plusieurs monstres au combat : vous pouvez les Invoquer Spécialement depuis les Cimetières sur votre Terrain.",6.0,Ténèbres,2200,2200,"2,5"
"Flash, Héros Elémentaire",Monstre,[ Guerrier / Effet ],,"Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez bannir cette carte et 3 Cartes Monstre ""HÉROS Élémentaire"" de noms différents depuis votre Cimetière pour cibler 1 Carte Magie Normale dans votre Cimetière ; ajoutez la cible à votre main.",4.0,Lumière,1100,1600,0
"Fléau Malveillant, HÉROS du Mal",Monstre,[ Démon / Fusion / Effet ],,"1 monstre ""HÉROS du Mal"" + 1 monstre de min. Niveau 5
 Uniquement Invocable Spécialement avec ""Fusion des Ténèbres"". Non destructible ni au combat ni par des effets de carte. Durant votre Main Phase : vous pouvez détruire tous les monstres contrôlés par votre adversaire avec une ATK inférieure ou égale à celle de cette carte, et aussi, cette carte gagne 200 ATK pour chaque monstre détruit de cette façon, et aussi, vous ne pouvez pas déclarer d'attaque (sauf avec des monstres ""HÉROS"") le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Fléau Malveillant, HÉROS du Mal"" qu'une fois par tour.",8.0,Ténèbres,3000,3000,5
Flèche Roquette Express,Monstre,[ Machine / Effet ],,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement (depuis votre main) en ne contrôlant aucune carte et non Invocable Spécialement autrement. Vous ne pouvez pas mener votre Battle Phase le tour où vous Invoquez Spécialement cette carte. Vous ne pouvez ni activer de cartes ni d'effets, ni Poser de cartes. Durant chacune de vos Standby Phases, détruisez cette carte sauf si vous envoyez toutes les cartes dans votre main au Cimetière.",10.0,Terre,5000,0,"0,2"
"Flèchylphe, Princesse de la Prédiction",Monstre,[ Elfe / Flip / Effet ],,FLIP : Vous pouvez ajouter 1 Carte Magie Rituelle depuis votre Deck ou Cimetière à votre main.,4.0,Vent,1000,1400,"0,25"
Flelfe,Monstre,[ Magicien / Effet ],,"Une fois par tour : vous pouvez révéler 1 monstre dans votre main ; jusqu'à la End Phase, augmentez le Niveau de cette carte par le Niveau du monstre.",2.0,Vent,800,1300,"0,2"
